"","category_name","date","sale_liters"
"97","TEQUILA","2015-03-02T00:00:00.000","9"
"98","TEQUILA","2015-03-02T00:00:00.000","1.875"
"99","TEQUILA","2015-03-02T00:00:00.000","9"
"100","TEQUILA","2015-03-02T00:00:00.000","3"
"101","TEQUILA","2015-03-02T00:00:00.000","1.5"
"102","TEQUILA","2015-03-02T00:00:00.000","1.5"
"103","TEQUILA","2015-03-02T00:00:00.000","0.75"
"104","TEQUILA","2015-03-02T00:00:00.000","0.75"
"105","TEQUILA","2015-03-02T00:00:00.000","9"
"106","TEQUILA","2015-03-02T00:00:00.000","2.25"
"107","TEQUILA","2015-03-02T00:00:00.000","2.25"
"108","TEQUILA","2015-03-02T00:00:00.000","1.5"
"109","TEQUILA","2015-03-02T00:00:00.000","4.5"
"110","TEQUILA","2015-03-02T00:00:00.000","4.5"
"111","TEQUILA","2015-03-02T00:00:00.000","1"
"112","TEQUILA","2015-03-02T00:00:00.000","0.75"
"113","TEQUILA","2015-03-02T00:00:00.000","0.3"
"114","TEQUILA","2015-03-02T00:00:00.000","0.75"
"115","TEQUILA","2015-03-02T00:00:00.000","1.5"
"116","TEQUILA","2015-03-02T00:00:00.000","3"
"117","TEQUILA","2015-03-02T00:00:00.000","1.875"
"118","TEQUILA","2015-03-02T00:00:00.000","1.5"
"119","TEQUILA","2015-03-02T00:00:00.000","12"
"120","TEQUILA","2015-03-02T00:00:00.000","9"
"121","TEQUILA","2015-03-02T00:00:00.000","10.5"
"122","TEQUILA","2015-03-02T00:00:00.000","9"
"123","TEQUILA","2015-03-02T00:00:00.000","9"
"124","TEQUILA","2015-03-02T00:00:00.000","1.5"
"125","TEQUILA","2015-03-02T00:00:00.000","1.5"
"126","TEQUILA","2015-03-02T00:00:00.000","3"
"127","TEQUILA","2015-03-02T00:00:00.000","1.5"
"128","TEQUILA","2015-03-02T00:00:00.000","1.5"
"129","TEQUILA","2015-03-02T00:00:00.000","4.5"
"130","TEQUILA","2015-03-02T00:00:00.000","2.25"
"131","TEQUILA","2015-03-02T00:00:00.000","1.5"
"132","TEQUILA","2015-03-02T00:00:00.000","0.75"
"133","TEQUILA","2015-03-02T00:00:00.000","0.375"
"134","TEQUILA","2015-03-02T00:00:00.000","0.75"
"135","TEQUILA","2015-03-02T00:00:00.000","9"
"136","TEQUILA","2015-03-02T00:00:00.000","12"
"137","TEQUILA","2015-03-02T00:00:00.000","9"
"138","TEQUILA","2015-03-02T00:00:00.000","9"
"139","TEQUILA","2015-03-02T00:00:00.000","9"
"140","TEQUILA","2015-03-02T00:00:00.000","18"
"141","TEQUILA","2015-03-02T00:00:00.000","0.75"
"142","TEQUILA","2015-03-02T00:00:00.000","9"
